Month,Quantity
1/31/2019,38
2/28/2019,18
3/31/2019,17
4/30/2019,58
5/31/2019,193
6/30/2019,1884
7/31/2019,16253
8/31/2019,52636
9/30/2019,16856
10/31/2019,8143
11/30/2019,4011
12/31/2019,1247
1/30/2020,197
2/29/2020,172
3/31/2020,159
4/30/2020,147
5/31/2020,134
6/30/2020,121
7/31/2020,109
8/31/2020,96
9/30/2020,83
10/31/2020,71
11/30/2020,58
12/31/2020,45
1/31/2021,32
2/28/2021,9
3/31/2021,13
4/30/2021,3
5/31/2021,43
6/30/2021,272
7/31/2021,2286
8/31/2021,7698
9/30/2021,7841
10/31/2021,5458
11/30/2021,3567
12/31/2021,1207
1/31/2022,126
2/28/2022,20
3/31/2022,20
4/30/2022,23
5/31/2022,163
6/30/2022,737
7/31/2022,1571
8/31/2022,3521
9/30/2022,9911
10/31/2022,21932
11/30/2022,19334
12/31/2022,5024
1/31/2023,566
2/28/2023,166
3/31/2023,111
4/30/2023,143
5/31/2023,1036
6/30/2023,5956
7/31/2023,43854
8/31/2023,71976
9/30/2023,79598
10/31/2023,67769
11/22/2023,33523
